ID_RSSD,ID_RSSD_PARENT,fdic_cert_num
29636,1083475,12204
30810,3846375,5649
42420,1071306,7468
17147,1208559,4365
59316,2365356,698
60143,1199844,983
34537,1085013,131
61122,1132672,4857
35301,1111435,14
18854,3256134,4147
37640,1098620,17393
5210,1117464,7506
23504,1416523,6976
24006,2631510,15995
85472,2609975,28359
55608,1115385,25825
28013,3132863,28710
100562,1030170,21943
12311,1068191,6560
129732,1204627,20624
130541,1209136,4360
107244,107244,110
119872,5371479,29744
119872,5371479,29744
143662,2078816,17266
143662,2747644,17266
122854,3140288,3076
83638,1135972,22953
139656,3180547,25858
139740,1210066,15614
112837,2277860,4297
186221,1076673,6892
174572,2571120,28834
93619,1111435,24938
197478,2734233,31628
200378,3153130,35498
177751,1098648,1068
177920,1398740,13716
202907,1048867,6989
165628,1071276,6600
212465,1119794,22826
212577,4366003,27677
204004,3133637,12010
214106,2728607,21591
214414,1134630,5969
208244,1098303,3832
239613,2560263,7472
216922,1076431,15019
229342,1202258,15651
229801,1048773,9396
210434,1199611,913
230759,1104231,25679
245276,2490575,31469
233031,3242838,12368
246022,2297701,26912
268677,2531245,30394
258771,3843507,32489
280110,1068025,17534
220527,2818245,5956
259330,1086168,17077
294564,1206546,14778
294779,2621548,28453
272272,3266227,28332
310978,4523431,28513
301574,3464313,30530
278818,1139541,7514
316840,1097025,23627
317342,1249730,258
339858,1883693,4214
352772,2126977,28489
342410,1248153,713
342634,1079562,4988
354310,1116609,7759
236706,2651590,11035
237619,5374461,20741
333203,1114940,14158
382069,1104231,24961
361167,1245068,18297
395238,1078846,873
365325,1076217,22858
398668,3587146,23472
371924,3333718,7848
399517,1118340,13876
426534,1208120,20369
403179,4438366,28405
403870,4299316,29675
416245,1203602,16450
428547,2260406,27052
429487,3843646,57451
379920,3005332,7888
451965,1120754,3511
431172,3489594,32172
439404,1133932,4256
419675,5371947,28533
433608,2367921,609
454676,3035928,28808
435077,2390013,30776
436159,1132104,8663
456045,1491409,11241
437914,3844269,17838
422433,3589560,14028
480228,1073757,3510
470050,1102312,3066
481177,3030307,5826
497570,3814208,32178
498317,2012436,384
473501,2333663,23621
474919,1117129,7551
501105,1037003,588
449038,1951350,25677
485559,1094640,4977
501815,1117688,7586
463735,1086533,12441
488318,3587146,24867
476810,1951350,7213
509811,1070644,2720
489623,1142336,6653
504713,1119794,6548
510871,2744894,30387
491224,1075612,11063
466044,1202258,9299
506922,1248304,4865
491934,1085170,22257
508346,2038409,10619
537449,1247428,15229
494261,2875332,24045
564977,3954681,30836
541101,3587146,639
542528,1246533,12982
556815,1142475,13879
522605,1115385,11971
522847,1249712,9314
577128,1070578,6544
561574,561574,32203
593007,1130249,4255
584724,1071502,9463
572374,2339133,29546
594947,1208009,5304
595430,2260406,5744
595869,1843080,18503
588478,2571120,30519
575254,2033226,25103
613008,1136803,9712
601050,1049341,24998
613679,2867458,29056
601416,1032464,659
614313,1071454,13339
289515,1118238,8405
633378,3099443,28765
645625,1070448,803
625159,1104231,23772
636771,1201925,27811
637451,3838727,17491
659855,1123670,1105
661308,4400336,622
628123,2001328,16820
662369,2976396,22597
663058,1206546,20310
651448,1039502,21761
663245,1094828,3890
664756,1109599,16835
642549,1206546,15219
656377,3065617,28088
673909,673909,90211
687009,1404799,19953
657365,2900261,24170
667757,1885307,12614
688079,1120754,13718
670467,3098576,23275
701062,1022764,17308
292908,1401190,6947
702117,1139279,7230
676478,3805279,27861
677176,1048513,31945
631570,3632493,30879
671464,2961879,26610
703767,2935405,23030
716374,2867458,31223
729310,2596776,57497
693224,1971693,34589
693345,1208595,4382
680813,1071191,6540
694904,2132932,32541
732918,1117688,14359
682563,1102367,5510
697763,1025541,3430
697978,2523389,30903
723112,1070345,6672
685676,4126609,30182
736206,1115013,8152
772446,1199844,1596
